Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2006 WP1,2017,2017,1,5.2E-09,17.77,28.3,0.007,-8.31,-8.31,0
2013 YB,2017,2046,23,7.6E-05,8.98,31.4,0.002,-6.6,-6.96,0
2008 US,2017,2062,30,1.6E-05,18.33,31.4,0.002,-6.48,-6.87,0
2010 VR139,2017,2076,24,2E-07,4.99,26.7,0.016,-6.83,-6.95,0
2015 ME131,2017,2096,85,2.3E-08,19.46,19.2,0.497,-3.85,-4.3,0
2010 XB73,2017,2110,55,2.8E-07,5.98,22.5,0.11,-5.03,-5.51,0
2005 TM173,2017,2111,123,9E-07,8.79,24.1,0.052,-5.41,-6.42,0
2006 SF281,2017,2111,514,1.9E-06,4.49,26.2,0.02,-5.91,-7.58,0
2010 VP139,2017,2112,350,1.8E-05,2.04,28.5,0.007,-6.51,-7.54,0
2014 HR197,2017,2112,187,7.9E-08,17.02,26.9,0.014,-7.18,-7.97,0
2015 HV182,2017,2113,509,7.1E-07,7.78,21.7,0.153,-4.14,-5.45,0
2008 SH148,2017,2113,163,8.1E-07,9.47,26.1,0.02,-6.57,-7.46,0
2008 XK,2017,2113,171,6.1E-07,9.03,27.2,0.012,-6.85,-7.5,0
2010 XC,2017,2113,332,3.3E-06,3.96,29.1,0.005,-7.25,-8.05,0
2010 MY112,2017,2114,440,7E-06,2.1,25.5,0.029,-4.9,-5.95,0
2014 MO68,2017,2114,262,1.5E-06,8.36,23.5,0.067,-5.06,-6.04,0
2009 FZ4,2017,2114,434,2.9E-06,10.11,25.2,0.031,-5.21,-6.03,0
2008 VS4,2017,2114,300,5.9E-07,8.31,24.1,0.051,-5.44,-6.6,0
2009 VZ39,2017,2114,924,7.1E-06,6.33,27.9,0.009,-6.22,-7.61,0
2014 JT79,2017,2114,861,1E-06,12.02,26.6,0.016,-6.23,-7.31,0
2008 VL,2017,2114,615,1.3E-05,9.68,27.9,0.009,-6.33,-7.46,0
2010 WW8,2017,2114,92,5.7E-07,4.45,26.9,0.015,-7.02,-7.73,0
2008 EM68,2017,2115,1144,1.3E-05,14.54,27.8,0.01,-5.31,-5.65,0
2015 HW182,2017,2115,174,5.7E-08,10.76,25.2,0.031,-6.69,-7.17,0
2012 BP123,2017,2115,228,5.9E-07,4.6,27.1,0.013,-7.24,-8.11,0
