Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
433 Eros,Amor Asteroid,57800,1.4579,0.2226,10.8277,178.805,304.3265,319.3111,1.1335,1.78,1.76,0.1492,598,11.16
719 Albert,Amor Asteroid,57800,2.6385,0.5479,11.5822,156.1409,183.9204,224.5535,1.1928,4.08,4.29,0.2004,78,15.5
887 Alinda,Amor Asteroid,57800,2.4787,0.5671,9.3561,350.3482,110.5444,351.373,1.0731,3.88,3.9,0.0925,188,13.4
1036 Ganymed,Amor Asteroid,57800,2.6628,0.5338,26.6929,132.469,215.5551,92.564,1.2413,4.08,4.35,0.3421,597,9.45
1221 Amor,Amor Asteroid,57800,1.9191,0.4356,11.8795,26.6572,171.3448,313.7379,1.0832,2.76,2.66,0.1068,70,17.7
1566 Icarus,Apollo Asteroid (Hazard),57800,1.0781,0.8269,22.8255,31.383,88.0107,215.5288,0.1867,1.97,1.12,0.0345,100,16.9
1580 Betulia,Amor Asteroid,57800,2.1973,0.4875,52.0908,159.4852,62.2921,191.9105,1.126,3.27,3.26,0.1361,191,14.8
1620 Geographos,Apollo Asteroid (Hazard),57800,1.2453,0.3353,13.3375,276.893,337.208,104.1556,0.8277,1.66,1.39,0.0307,449,15.6
1627 Ivar,Amor Asteroid,57800,1.8628,0.3966,8.4512,167.773,133.1445,151.4603,1.1241,2.6,2.54,0.1124,635,13.2
1685 Toro,Apollo Asteroid,54520,1.3673,0.4359,9.3807,127.0826,274.3396,48.6229,0.7713,1.96,1.6,0.0504,355,14.23
1862 Apollo,Apollo Asteroid (Hazard),55432,1.4702,0.5599,6.3533,285.8625,35.7319,275.7827,0.6471,2.29,1.78,0.0256,276,16.25
1863 Antinous,Apollo Asteroid,57800,2.2594,0.6062,18.3989,267.9955,346.4862,81.5233,0.8897,3.63,3.4,0.1831,156,15.54
1864 Daedalus,Apollo Asteroid,57800,1.461,0.6144,22.2121,325.6376,6.6402,271.4266,0.5634,2.36,1.77,0.2692,361,14.85
